building_id,HVAC,DOMESTIC_HOT_WATER,CLOTHES_DRYER,STOVE,TOTAL,RetrofitYear
F_714592_2938902,20783.42,2574.88,1341.40,1767.25,26466.95,2025
F_714723_2938816,19947.28,2315.28,1341.40,1507.65,25111.60,2025
F_714815_2939003,15693.15,2315.28,1341.40,1767.25,21117.07,2025
F_714897_2938859,20486.15,2574.88,1341.40,1767.25,26169.67,2025
F_714956_2939056,17731.00,2315.28,1341.40,1767.25,23154.92,2025
F_715018_2938902,25809.69,2315.28,1341.40,1767.25,31233.62,2025
F_715074_2938797,21818.96,2574.88,1341.40,1507.65,27242.88,2025
F_715113_2939056,25777.62,2574.88,1341.40,1767.25,31461.15,2025
F_715117_2938698,17717.32,2315.28,1341.40,1767.25,23141.25,2025
F_715195_2938669,14917.11,2315.28,1341.40,1507.65,20081.43,2025
F_715218_2938954,18059.47,2574.88,1341.40,1767.25,23743.00,2025
F_715268_2938629,17782.19,2574.88,1341.40,1507.65,23206.12,2025
F_715284_2938843,27857.24,2574.88,1341.40,1507.65,33281.16,2025
F_715382_2938560,19803.98,2574.88,1341.40,1507.65,25227.91,2025
F_715419_2938797,21626.00,2574.88,1341.40,1767.25,27309.53,2025
F_715497_2938593,17988.87,2574.88,1341.40,1767.25,23672.39,2025
F_715583_2938646,29865.76,2574.88,1341.40,1767.25,35549.29,2025
F_715583_2938872,17193.10,2574.88,1341.40,1767.25,22876.62,2025
F_715674_2938757,26661.57,5170.88,1341.40,1767.25,34941.10,2025
F_753409_2716987,70481.83,12874.38,5365.60,8836.25,97558.05,2025
F_753421_2717033,70816.83,12874.38,5365.60,7538.25,96595.05,2025
F_753432_2717080,62710.01,12225.38,5365.60,7538.25,87839.24,2025
F_753569_2717047,52382.96,9001.50,4024.20,6030.60,71439.26,2025
F_753492_2717319,18966.98,7096.75,1341.40,3534.50,30939.63,2025
F_753581_2717093,79187.42,11576.38,5365.60,8836.25,104965.65,2025
F_753474_2717148,46692.10,6426.63,2682.80,5301.75,61103.28,2025
F_753588_2717245,12838.60,3872.88,1341.40,1507.65,19560.53,2025
F_753480_2717271,49497.09,7724.63,2682.80,5301.75,65206.27,2025
F_753629_2717285,56167.22,9022.63,2682.80,4522.95,72395.59,2025
F_753504_2717366,73509.65,13523.38,5365.60,8836.25,101234.88,2025
F_753515_2717411,80525.79,13502.25,6707.00,10603.50,111338.54,2025
F_753646_2717355,49909.88,7075.63,2682.80,5301.75,64970.06,2025
F_753526_2717454,33497.61,5149.75,1341.40,3534.50,43523.26,2025
F_753663_2717423,36678.49,5798.75,1341.40,3534.50,47353.14,2025
F_753674_2717470,44921.79,5777.63,2682.80,5301.75,58683.97,2025
